iter	Passed	Remaining
464	748	860
465	749	858
466	750	856
467	751	854
468	753	852
469	754	850
470	755	848
471	757	846
472	758	844
473	759	842
474	760	840
475	761	838
476	763	836
477	764	834
478	765	832
479	766	830
480	767	828
481	769	826
482	770	824
483	771	822
484	772	820
485	774	818
486	775	816
487	776	814
488	777	812
489	779	810
490	780	808
491	781	806
492	782	805
493	784	803
494	785	801
495	786	799
496	787	797
497	789	795
498	790	793
499	791	791
500	792	789
501	793	787
502	795	785
503	796	783
504	797	781
505	798	779
506	800	777
507	801	776
508	803	774
509	804	772
510	805	770
511	806	768
512	808	767
513	809	765
514	810	763
515	811	761
516	813	759
517	814	757
518	817	757
519	818	755
520	819	753
521	821	751
522	822	750
523	824	748
524	825	746
525	826	745
526	828	743
527	829	741
528	831	740
529	832	738
530	834	736
531	835	735
532	836	733
533	838	731
534	839	729
535	840	727
536	841	725
537	843	723
538	844	722
539	845	720
540	847	718
541	848	716
542	849	715
543	850	713
544	852	711
545	853	709
546	854	707
547	855	705
548	857	704
549	858	702
550	859	700
551	861	698
552	862	697
553	863	695
554	864	693
555	866	691
556	867	689
557	868	687
558	869	686
559	870	684
560	872	682
561	873	680
562	874	678
563	876	677
564	877	675
565	878	673
566	879	671
567	881	670
568	882	668
569	883	666
570	884	664
571	886	663
572	887	661
573	888	659
574	889	657
575	891	656
576	892	654
577	893	652
578	895	650
579	896	649
580	897	647
581	898	645
582	900	643
583	901	642
584	902	640
585	903	638
586	905	636
587	906	635
588	907	633
589	909	631
590	910	630
591	911	628
592	912	626
593	914	624
594	915	623
595	916	621
596	917	619
597	919	617
598	920	616
599	922	614
600	923	613
601	924	611
602	925	609
603	927	607
604	928	606
605	929	604
606	930	602
607	932	600
608	933	599
609	934	597
610	936	596
611	937	594
612	939	592
613	940	591
614	941	589
615	943	587
616	944	586
617	945	584
618	947	582
619	948	581
620	949	579
621	951	578
622	952	576
623	953	574
624	955	573
625	956	571
626	958	570
627	959	568
628	961	566
629	962	565
630	963	563
631	964	561
632	966	560
633	967	558
634	969	557
635	970	555
636	971	553
637	972	552
638	974	550
639	975	548
640	976	546
641	977	545
642	979	543
643	980	542
644	982	540
645	983	539
646	984	537
647	986	535
648	987	534
649	989	532
650	990	530
651	991	529
652	993	527
653	995	526
654	996	524
655	998	523
656	999	521
657	1000	520
658	1002	518
659	1003	516
660	1004	515
661	1005	513
662	1007	511
663	1008	510
664	1009	508
665	1011	507
666	1012	505
667	1013	503
668	1015	502
669	1016	500
670	1017	498
671	1018	497
672	1020	495
673	1021	494
674	1022	492
675	1023	490
676	1025	489
677	1027	488
678	1029	486
679	1030	484
680	1031	483
681	1032	481
682	1034	479
683	1035	478
684	1036	476
685	1037	475
686	1039	473
687	1040	471
688	1041	470
689	1042	468
690	1044	466
691	1045	465
692	1046	463
693	1048	462
694	1049	460
695	1050	458
696	1051	457
697	1052	455
698	1054	453
699	1055	452
700	1056	450
701	1058	449
702	1059	447
703	1060	446
704	1062	444
705	1063	442
706	1064	441
707	1065	439
708	1067	438
709	1068	436
710	1069	434
711	1071	433
712	1072	431
713	1073	430
714	1074	428
715	1076	426
716	1077	425
717	1078	423
718	1079	421
719	1081	420
720	1082	418
721	1083	417
722	1084	415
723	1085	413
724	1087	412
725	1088	410
726	1089	409
727	1091	407
728	1092	406
729	1093	404
730	1094	402
731	1095	401
732	1097	399
733	1098	398
734	1099	396
735	1101	394
736	1102	393
737	1103	391
738	1105	390
739	1106	388
740	1107	387
741	1108	385
742	1110	383
743	1111	382
744	1112	380
745	1113	379
746	1115	377
747	1116	376
748	1117	374
749	1119	373
750	1120	371
751	1121	369
752	1122	368
753	1123	366
754	1125	365
755	1126	363
756	1127	361
757	1128	360
758	1129	358
759	1131	357
760	1132	355
761	1133	354
762	1134	352
763	1136	350
764	1137	349
765	1138	347
766	1139	346
767	1141	344
768	1142	343
769	1143	341
770	1144	339
771	1146	338
772	1147	336
773	1148	335
774	1150	333
775	1151	332
776	1152	330
777	1153	329
778	1154	327
779	1156	326
780	1157	324
781	1158	323
782	1159	321
783	1161	320
784	1162	318
785	1164	316
786	1165	315
787	1166	313
788	1167	312
789	1169	310
790	1170	309
791	1171	307
792	1172	306
793	1174	304
794	1175	303
795	1177	301
796	1178	300
797	1179	298
798	1180	297
799	1181	295
800	1183	293
801	1184	292
802	1185	290
803	1187	289
804	1188	287
805	1189	286
806	1190	284
807	1192	283
808	1193	281
809	1194	280
810	1196	278
811	1197	277
812	1198	275
813	1200	274
814	1201	272
815	1202	271
816	1203	269
817	1205	268
818	1206	266
819	1207	265
820	1209	263
821	1210	262
822	1211	260
823	1212	259
824	1214	257
825	1215	255
826	1216	254
827	1217	252
828	1218	251
829	1220	249
830	1221	248
831	1222	246
832	1224	245
833	1225	243
834	1226	242
835	1227	240
836	1229	239
837	1230	237
838	1231	236
839	1232	234
840	1234	233
841	1235	231
842	1236	230
843	1238	228
844	1239	227
845	1240	225
846	1241	224
847	1243	222
848	1244	221
849	1245	219
850	1246	218
851	1248	216
852	1249	215
853	1250	213
854	1252	212
855	1253	210
856	1254	209
857	1255	207
858	1257	206
859	1258	204
860	1259	203
861	1260	201
862	1261	200
863	1263	198
864	1264	197
865	1265	195
866	1267	194
867	1268	192
868	1270	191
869	1271	189
870	1272	188
871	1273	186
872	1275	185
873	1276	184
874	1277	182
875	1279	181
876	1280	179
877	1281	178
878	1283	176
879	1284	175
880	1285	173
881	1286	172
882	1288	170
883	1289	169
884	1290	167
885	1291	166
886	1293	164
887	1294	163
888	1295	161
889	1297	160
890	1298	158
891	1299	157
892	1301	155
893	1302	154
894	1303	152
895	1304	151
896	1305	149
897	1307	148
898	1308	146
899	1309	145
900	1310	144
901	1312	142
902	1313	141
903	1314	139
904	1315	138
905	1317	136
906	1318	135
907	1319	133
908	1320	132
909	1322	130
910	1323	129
911	1324	127
912	1325	126
913	1327	124
914	1328	123
915	1330	121
916	1331	120
917	1332	119
918	1333	117
919	1335	116
920	1336	114
921	1337	113
922	1338	111
923	1339	110
924	1341	108
925	1342	107
926	1344	105
927	1345	104
928	1346	102
929	1347	101
930	1349	99
931	1350	98
932	1351	97
933	1352	95
934	1353	94
935	1355	92
936	1356	91
937	1358	89
938	1359	88
939	1360	86
940	1361	85
941	1363	83
942	1364	82
943	1365	81
944	1366	79
945	1367	78
946	1368	76
947	1370	75
948	1371	73
949	1372	72
950	1374	70
951	1375	69
952	1376	67
953	1378	66
954	1379	64
955	1380	63
956	1381	62
957	1383	60
958	1384	59
959	1385	57
960	1386	56
961	1388	54
962	1389	53
963	1390	51
964	1392	50
965	1393	49
966	1394	47
967	1395	46
968	1396	44
969	1398	43
970	1399	41
971	1400	40
972	1401	38
973	1403	37
974	1404	36
975	1405	34
976	1407	33
977	1408	31
978	1409	30
979	1411	28
980	1412	27
981	1413	25
982	1414	24
983	1416	23
984	1417	21
985	1419	20
986	1420	18
987	1421	17
988	1422	15
989	1424	14
990	1425	12
991	1426	11
992	1427	10
993	1429	8
994	1430	7
995	1431	5
996	1432	4
997	1434	2
998	1435	1
999	1436	0
